,Category,Product,Rating,Reviews,Price,Image,ASIN,Link
0,Cellphones And Accesories,Apple AirPods with Charging Case (Wired),4.8 out of 5 stars,311976.0,128.98,https://m.media-amazon.com/images/I/71NTi82uBEL._AC_UY218_.jpg,B07PXGQC1Q,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q/ref=sr_1_1?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-1
1,Cellphones And Accesories,Apple AirPods Pro,4.8 out of 5 stars,138504.0,199.98,https://m.media-amazon.com/images/I/71zny7BTRlL._AC_UY218_.jpg,B07ZPC9QD4,https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/dp/B07ZPC9QD4/ref=sr_1_2?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-2
2,Cellphones And Accesories,Apple 20W USB-C Power Adapter,4.8 out of 5 stars,16097.0,18.99,https://m.media-amazon.com/images/I/41iWogJnZQL._AC_UY218_.jpg,B08L5M9BTJ,https://www.amazon.com/Apple-20W-USB-C-Power-Adapter/dp/B08L5M9BTJ/ref=sr_1_3?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-3
3,Cellphones And Accesories,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",4.8 out of 5 stars,101438.0,169.00,https://m.media-amazon.com/images/I/71fwbMm1NBL._AC_UY218_.jpg,B07K39FRSL,https://www.amazon.com/Apple-Watch-GPS-38mm-Space-Aluminium/dp/B07K39FRSL/ref=sr_1_4?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-4
4,Cellphones And Accesories,Apple Pencil (2nd Generation),4.8 out of 5 stars,20090.0,124.98,https://m.media-amazon.com/images/I/41S3MKU9TjL._AC_UY218_.jpg,B07K1WWBJK,https://www.amazon.com/Apple-MU8F2AM-A-Pencil-Generation/dp/B07K1WWBJK/ref=sr_1_5?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-5
5,Cellphones And Accesories,Apple AirPods with Wireless Charging Case,4.8 out of 5 stars,47656.0,129.98,https://m.media-amazon.com/images/I/710rzW2RGcL._AC_UY218_.jpg,B07PYLT6DN,https://www.amazon.com/Apple-AirPods-Wireless-Charging-Latest/dp/B07PYLT6DN/ref=sr_1_6?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-6
6,Cellphones And Accesories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",4.6 out of 5 stars,160252.0,6.98,https://m.media-amazon.com/images/I/81MZ5D1wHpL._AC_UY218_.jpg,B07H2V5YLH,https://www.amazon.com/AILUN-Protector-Compatible-Tempered-Anti-Scratch/dp/B07H2V5YLH/ref=sr_1_7?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-7
7,Cellphones And Accesories,"New Apple Watch Series 6 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band",4.8 out of 5 stars,16845.0,339.00,https://m.media-amazon.com/images/I/71yOGVLGWpL._AC_UY218_.jpg,B08J5QC43Q,https://www.amazon.com/New-Apple-Watch-GPS-40mm-Aluminum/dp/B08J5QC43Q/ref=sr_1_8?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-8
8,Cellphones And Accesories,Apple EarPods with Lightning Connector - White,4.7 out of 5 stars,70986.0,19.00,https://m.media-amazon.com/images/I/41wYbyr3LLL._AC_UY218_.jpg,B01M0GB8CC,https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_9?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-9
9,Cellphones And Accesories,Apple Lightning to 3.5 mm Headphone Jack Adapter,4.7 out of 5 stars,93839.0,7.99,https://m.media-amazon.com/images/I/31mmFtpMqOL._AC_UY218_.jpg,B01LXJFMGF,https://www.amazon.com/Apple-Lightning-Headphone-Jack-Adapter/dp/B01LXJFMGF/ref=sr_1_10?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-10
10,Cellphones And Accesories,SAMSUNG: EVO Select 128GB MicroSDXC UHS-I U3 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-ME128HA),4.8 out of 5 stars,99253.0,17.99,https://m.media-amazon.com/images/I/81axmUuRHrL._AC_UY218_.jpg,B0887GP791,https://www.amazon.com/SAMSUNG-Select-microSDXC-Adapter-MB-ME128HA/dp/B0887GP791/ref=sr_1_11?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-11
11,Cellphones And Accesories,UNEN MFi Certified 5Pack[3/3/6/6/10ft] Nylon Braided iPhone Charger Lightning Cable Fast Charging&Syncing Long Cord Compatible iPhone 11Pro Max/11Pro/11/XS/Max/XR/X/8/8P/7 and More-Black&Blue,4.6 out of 5 stars,16660.0,14.99,https://m.media-amazon.com/images/I/71wA5HD38nL._AC_UY218_.jpg,B08JCZFWQJ,https://www.amazon.com/UNEN-Certified-Lightning-Compatible-More-Black/dp/B08JCZFWQJ/ref=sr_1_12?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-12
12,Cellphones And Accesories,"New Apple Watch SE (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",4.9 out of 5 stars,13481.0,,https://m.media-amazon.com/images/I/71nw+MRGq3L._AC_UY218_.jpg,B08J5XTRZD,https://www.amazon.com/New-Apple-Watch-SE-44mm/dp/B08J5XTRZD/ref=sr_1_13?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-13
13,Cellphones And Accesories,Apple MagSafe Charger,4.5 out of 5 stars,2332.0,35.99,https://m.media-amazon.com/images/I/91ghhfky4LL._AC_UY218_.jpg,B08L5NP6NG,https://www.amazon.com/Apple-MHXH3AM-A-MagSafe-Charger/dp/B08L5NP6NG/ref=sr_1_14?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-14
14,Cellphones And Accesories,"QHOHQ 3 Pack Screen Protector for iPhone 12 Pro Max [6.7”] with 2 Packs Tempered Glass Camera Lens Protector, Tempered Glass Film, 9H Hardness - HD - 2.5D Edge - Bubble Free - Scratch Resistant",4.5 out of 5 stars,6072.0,16.99,https://m.media-amazon.com/images/I/71JSy14DhNL._AC_UY218_.jpg,B088DXSTNW,https://www.amazon.com/QHOHQ-iPhone-12-Pro-Max/dp/B088DXSTNW/ref=sr_1_15?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-15
15,Cellphones And Accesories,"Anker Nano USB-C Charger, PIQ 3.0 Durable Compact Fast Charger, PowerPort III USB-C Charger for iPhone 12/12 Mini / 12 Pro / 12 Pro Max / 11, Galaxy, Pixel 4/3, iPad Pro (Cable Not Included)",4.8 out of 5 stars,22191.0,16.99,https://m.media-amazon.com/images/I/51SrOjePk1L._AC_UY218_.jpg,B07WRKXQ8W,https://www.amazon.com/Charger-Anker-Adapter-PowerPort-iPhone/dp/B07WRKXQ8W/ref=sr_1_16?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-16
16,Cellphones And Accesories,"Mkeke Compatible with iPhone XR Screen Protector, IPhone 11 Screen protector,Tempered Glass Film for Apple iPhone XR and iPhone 11, 3-Pack Clear",4.6 out of 5 stars,128084.0,6.98,https://m.media-amazon.com/images/I/71nK-Ti90+L._AC_UY218_.jpg,B07HRN9J19,https://www.amazon.com/Mkeke-Compatible-iPhone-Protector-Tempered/dp/B07HRN9J19/ref=sr_1_17?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-17
17,Cellphones And Accesories,"Samsung Galaxy Buds Pro, True Wireless Earbuds w/ Active Noise Cancelling (Wireless Charging Case Included), Phantom Black (US Version)",4.1 out of 5 stars,110.0,199.99,https://m.media-amazon.com/images/I/719p0eyZiSL._AC_UY218_.jpg,B08MWZHHKP,https://www.amazon.com/Samsung-Wireless-Cancelling-Charging-Included/dp/B08MWZHHKP/ref=sr_1_18?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-18
18,Cellphones And Accesories,"Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography",4.4 out of 5 stars,50830.0,33.99,https://m.media-amazon.com/images/I/61dR6Py28XL._AC_UY218_.jpg,B07GDC39Y2,https://www.amazon.com/UBeesize-Ringlight-YouTube-Photography-Compatible/dp/B07GDC39Y2/ref=sr_1_19?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-19
